cod_munic;munic;ano;mes;pop
3303401;Nova Friburgo;2006;8;178638
3303500;Nova Iguaçu;2006;8;783817
3303609;Paracambi;2006;8;44399
3303708;Paraíba do Sul;2006;8;39604
3303807;Paraty;2006;8;34175
3303856;Paty do Alferes;2006;8;25790
3303906;Petrópolis;2006;8;292207
3303955;Pinheiral;2006;8;21391
3304003;Piraí;2006;8;24584
3304102;Porciúncula;2006;8;17029
3304110;Porto Real;2006;8;14660
3304128;Quatis;2006;8;11942
3304144;Queimados;2006;8;131473
3304151;Quissamã;2006;8;17360
3304201;Resende;2006;8;113561
3304300;Rio Bonito;2006;8;53178
3304409;Rio Claro;2006;8;16946
3304508;Rio das Flores;2006;8;8181
3304524;Rio das Ostras;2006;8;69657
3304557;Rio de Janeiro;2006;8;6135099
3304607;Santa Maria Madalena;2006;8;10381
3304706;Santo Antônio de Pádua;2006;8;39835
3304805;São Fidélis;2006;8;37246
3304755;São Francisco de Itabapoana;2006;8;41272
3304904;São Gonçalo;2006;8;955701
3305000;São João da Barra;2006;8;30662
3305109;São João de Meriti;2006;8;455049
3305133;São José de Ubá;2006;8;6766
3305158;São José do Vale do Rio Preto;2006;8;19864
3305208;São Pedro da Aldeia;2006;8;77248
3305307;São Sebastião do Alto;2006;8;8699
3305406;Sapucaia;2006;8;17380
3305505;Saquarema;2006;8;64800
3305554;Seropédica;2006;8;72844
3305604;Silva Jardim;2006;8;21316
3305703;Sumidouro;2006;8;14612
3305752;Tanguá;2006;8;28809
3305802;Teresópolis;2006;8;153171
3305901;Trajano de Moraes;2006;8;10190
3306008;Três Rios;2006;8;75248
3306107;Valença;2006;8;69622
3306156;Varre-Sai;2006;8;8804
3306206;Vassouras;2006;8;33219
3306305;Volta Redonda;2006;8;251520
3300100;Angra dos Reis;2006;9;148144
3300159;Aperibé;2006;9;9309
3300209;Araruama;2006;9;99767
3300225;Areal;2006;9;10813
3300233;Armação dos Búzios;2006;9;23512
3300258;Arraial do Cabo;2006;9;26176
3300308;Barra do Piraí;2006;9;92322
3300407;Barra Mansa;2006;9;175073
3300456;Belford Roxo;2006;9;455653
3300506;Bom Jardim;2006;9;24270
3300605;Bom Jesus do Itabapoana;2006;9;34727
3300704;Cabo Frio;2006;9;160747
3300803;Cachoeiras de Macacu;2006;9;52001
3300902;Cambuci;2006;9;14767
3301009;Campos dos Goytacazes;2006;9;441106
3301108;Cantagalo;2006;9;19832
3300936;Carapebus;2006;9;11318
3301157;Cardoso Moreira;2006;9;12598
3301207;Carmo;2006;9;16579
3301306;Casimiro de Abreu;2006;9;29555
3300951;Comendador Levy Gasparian;2006;9;8081
3301405;Conceição de Macabu;2006;9;20245
3301504;Cordeiro;2006;9;19709
3301603;Duas Barras;2006;9;10698
3301702;Duque de Caxias;2006;9;823621
3301801;Engenheiro Paulo de Frontin;2006;9;12815
3301850;Guapimirim;2006;9;45807
3301876;Iguaba Grande;2006;9;19493
3301900;Itaboraí;2006;9;205761
3302007;Itaguaí;2006;9;97791
3302056;Italva;2006;9;13492
3302106;Itaocara;2006;9;22939
3302205;Itaperuna;2006;9;92237
3302254;Itatiaia;2006;9;27161
3302270;Japeri;2006;9;90613
3302304;Laje do Muriaé;2006;9;7646
3302403;Macaé;2006;9;174326
3302452;Macuco;2006;9;5119
3302502;Magé;2006;9;218832
3302601;Mangaratiba;2006;9;31503
3302700;Maricá;2006;9;104951
3302809;Mendes;2006;9;17685
3302858;Mesquita;2006;9;168248
3302908;Miguel Pereira;2006;9;24356
3303005;Miracema;2006;9;26928
3303104;Natividade;2006;9;15098
3303203;Nilópolis;2006;9;155991
3303302;Niterói;2006;9;476590
3303401;Nova Friburgo;2006;9;178711
3303500;Nova Iguaçu;2006;9;784080
3303609;Paracambi;2006;9;44456
3303708;Paraíba do Sul;2006;9;39635
3303807;Paraty;2006;9;34244
3303856;Paty do Alferes;2006;9;25802
3303906;Petrópolis;2006;9;292286
3303955;Pinheiral;2006;9;21419
3304003;Piraí;2006;9;24619
3304102;Porciúncula;2006;9;17044
